Date,Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity
2023-06-01,177.7,180.12,176.9306,180.09,68901712.0,0.18259965728715727,0.3891342742905243
2023-06-02,181.03,181.78,179.26,180.95,61996852.0,0.16450038177424806,0.41126019822046067
2023-06-05,182.63,184.951,178.035,179.58,121722517.0,0.07313485073283443,0.43920172046400857
2023-06-06,179.965,180.12,177.43,179.21,64845314.0,0.13709586004425928,0.4224763074005877
2023-06-07,178.44,181.21,177.32,177.82,61944615.0,0.13425123320834823,0.3707597088493774
2023-06-08,177.895,180.84,177.46,180.57,50210681.0,0.1771762740183793,0.4882581453634085
2023-06-09,181.5,182.23,180.63,180.96,48869360.0,0.0735066813973064,0.37664708844396344
2023-06-12,181.27,183.89,180.97,183.79,54754995.0,0.12552759740259742,0.3706841138659321
2023-06-13,182.8,184.15,182.44,183.31,54867129.0,0.07024188397889114,0.401926013419741
2023-06-14,183.37,184.39,182.02,183.95,57462782.0,0.11490384615384615,0.2953525641025641
2023-06-15,183.96,186.52,183.78,186.01,65433166.0,0.2935714285714286,0.5212380952380953
2023-06-16,186.73,186.99,184.27,184.92,101151225.0,0.20310495303916357,0.37801875268980534
2023-06-20,184.41,186.1,184.41,185.01,49799092.0,0.22208333333333333,0.44180555555555556
2023-06-21,184.9,185.41,182.5901,183.96,49515697.0,0.11561355311355312,0.45082417582417583
2023-06-22,183.74,187.045,183.67,187.0,51245327.0,0.2163627946127946,0.4546835016835017
2023-06-23,185.55,187.56,185.01,186.68,53112346.0,0.036603217044393524,0.3951205330617095
2023-06-26,186.83,188.05,185.23,185.27,48088661.0,0.11112806119983153,0.3956479180043773
2023-06-27,185.89,188.39,185.67,188.06,50731499.0,0.15915272227772229,0.31546245421245417
2023-06-28,187.93,189.9,187.6,189.25,51216801.0,0.07923176206509538,0.3274186307519641
2023-06-29,189.08,190.07,188.94,189.59,46347308.0,0.1312169263485053,0.5004280660859608
2023-06-30,191.63,194.48,191.26,193.97,85068452.0,0.12967825924075924,0.4405582215403644
2023-07-03,193.78,193.88,191.76,192.46,31458198.0,0.16213907620157622,0.4097258991008991
2023-07-05,191.565,192.98,190.62,191.33,46896861.0,0.18352607709750565,0.3473497732426304
2023-07-06,189.84,192.02,189.2,191.81,45155523.0,0.13612289562289562,0.5580930735930736
2023-07-07,191.41,192.67,190.24,190.68,46757498.0,0.30692307692307697,0.4685042735042735
2023-07-10,189.26,189.99,187.035,188.61,59912163.0,0.174937757590381,0.3533757809083692
2023-07-11,189.16,189.3,186.6,188.08,46638119.0,0.16504455741626795,0.4093301310805423
2023-07-12,189.68,191.7,188.47,189.77,60750218.0,0.22711126117113511,0.46414824263038545
2023-07-13,190.5,191.19,189.78,190.54,41337338.0,0.0784969706632653,0.4403608630952381
2023-07-14,190.23,191.1799,189.63,190.69,41616242.0,0.17905483405483405,0.37124779541446207
2023-07-17,191.9,194.32,191.81,193.99,50520159.0,0.08267133520074696,0.24466199813258635
2023-07-18,193.35,194.33,192.415,193.73,48153774.0,0.20718756189344423,0.45753317488611606
2023-07-19,193.1,198.23,192.65,195.1,80492323.0,0.14113552618016903,0.4377927875695733
2023-07-20,195.09,196.47,192.495,193.13,59581196.0,0.17781130634071807,0.475506253006253
2023-07-21,194.1,194.97,191.23,191.94,71451683.0,0.044057666261613636,0.3727093934330777
2023-07-24,193.41,194.91,192.25,192.75,45507451.0,0.1016286817757406,0.4399859943977591
2023-07-25,193.33,194.44,192.915,193.62,37283201.0,0.16832130832130832,0.33140211640211636
2023-07-26,193.67,195.64,193.32,194.5,47471868.0,0.21190156668728097,0.535922902494331
2023-07-27,196.02,197.2,192.55,193.22,47439680.0,0.20454155037214247,0.5100152488228146
2023-07-28,194.67,196.626,194.14,195.83,47691443.0,0.1993836608717561,0.34739638447971777
2023-07-31,196.06,196.49,195.26,196.45,38824113.0,0.12795254927628946,0.3554922952517663
2023-08-01,196.235,196.73,195.28,195.605,35281426.0,0.12962060202869027,0.5271541040658688
2023-08-02,195.04,195.18,191.8507,192.58,50388811.0,0.1314840117444284,0.38607095258136925
2023-08-03,191.57,192.37,190.69,191.17,62243282.0,0.10075598286612836,0.4000072023520999
2023-08-04,185.52,187.38,181.92,181.99,115956841.0,0.1255786427072659,0.4707328063282601
2023-08-07,182.13,183.13,177.35,178.85,97105069.0,0.10950378005847784,0.41287123287051236
2023-08-08,179.69,180.27,177.58,179.8,67769003.0,0.09649546055796056,0.3722820466570467
2023-08-09,180.87,180.93,177.01,178.19,60303492.0,0.04440098261526832,0.40273431594860165
2023-08-10,179.48,180.75,177.6,177.97,54686851.0,0.15111846834365386,0.31644780698584035
2023-08-11,177.32,178.62,176.55,177.79,51036672.0,0.10647450267985982,0.46314677386105957
2023-08-14,177.97,179.69,177.305,179.46,43675627.0,0.09608585858585857,0.2857954545454546
2023-08-15,178.88,179.48,177.05,177.45,43574863.0,0.11472973785473786,0.3831630040484207
2023-08-16,177.13,178.54,176.5,176.57,45712957.0,0.1703426035244217,0.46067263544536274
2023-08-17,177.14,177.5054,173.48,174.0,66054482.0,0.21104401028264663,0.42614138639138643
2023-08-18,172.3,175.1,171.96,174.49,60171878.0,0.11868238936988937,0.48076911976911973
2023-08-21,175.07,176.13,173.735,175.84,46161959.0,0.25737020382073855,0.5216109850735519
2023-08-22,177.06,177.68,176.25,177.23,42057245.0,0.2300084294651056,0.40965838375639513
2023-08-23,178.52,181.55,178.325,181.12,52722752.0,0.18874312483008135,0.4117562791475835
2023-08-24,180.674,181.104,176.01,176.38,54912798.0,0.09314785614292782,0.4183897431388471
2023-08-25,177.38,179.15,175.82,178.61,51439994.0,0.11826902237355455,0.42304030101910217
2023-08-28,180.09,180.59,178.545,180.19,43803238.0,0.16576293826293825,0.43252392408642404
2023-08-29,179.695,184.9,179.5,184.12,52953948.0,0.16538102262739943,0.4695047504830113
2023-08-30,184.94,187.85,184.74,187.65,60803988.0,0.18410690073815075,0.4134478493728494
2023-08-31,187.84,189.12,187.48,187.87,60794467.0,0.18339623917748918,0.5043558029272315
2023-09-01,189.485,189.92,188.28,189.46,45393903.0,0.17798170194003526,0.5793209876543209
2023-09-05,188.28,189.98,187.61,189.7,45280027.0,0.14877526353716833,0.3682556874893184
2023-09-06,188.4,188.85,181.47,182.91,81753366.0,0.08591963591963592,0.46309801309801313
2023-09-07,175.18,178.21,173.54,177.56,112416703.0,0.10418707722175088,0.4189665691836438
2023-09-08,178.35,180.239,177.79,178.18,65402066.0,0.10662917898419336,0.44638367301997883
2023-09-11,180.07,180.3,177.34,179.36,58953052.0,0.10923952331338695,0.4103366711059399
2023-09-12,179.49,180.13,174.82,176.3,90316192.0,0.13043153181221365,0.374042066269339
2023-09-13,176.51,177.3,173.98,174.21,84267928.0,0.11718203410413645,0.42123498537198634
2023-09-14,174.0,176.1,173.58,175.74,60345757.0,0.1497435895727152,0.3231223802652374
2023-09-15,176.48,176.495,173.82,175.01,109259461.0,0.16170905483405484,0.5228657376574044
2023-09-18,176.48,179.38,176.17,177.97,67257573.0,0.08727488137618857,0.4174251158850832
2023-09-19,177.52,179.63,177.13,179.07,51826941.0,0.037790703610879044,0.45068573677784207
2023-09-20,179.26,179.695,175.4,175.49,58436181.0,0.16056727994227996,0.3522691197691198
2023-09-21,174.55,176.3,173.86,173.93,62449116.0,0.05165378988295655,0.41086499919833247
2023-09-22,174.67,177.079,174.05,174.79,56688985.0,0.1476836930705978,0.45034216775288205
2023-09-25,174.2,176.97,174.15,176.08,46172740.0,0.1118851344129122,0.36270144316845704
2023-09-26,174.82,175.2,171.66,171.96,64548945.0,0.07013175118532261,0.3327968331271903
2023-09-27,172.62,173.04,169.05,170.43,66920708.0,0.1616767107726929,0.540277761672851
2023-09-28,169.34,172.03,167.62,170.69,56294419.0,0.15655036943006867,0.4208158003233191
2023-09-29,172.02,173.07,170.341,171.21,51861083.0,0.1384334864740003,0.4456846617434853
2023-10-02,171.22,174.3,170.93,173.75,52156935.0,0.1808786493297363,0.45489357210824605
2023-10-03,172.255,173.63,170.82,172.4,49594613.0,0.28392530419316137,0.5619086006586007
2023-10-04,171.09,174.21,170.97,173.66,53006286.0,0.13385857625878633,0.48000679733172735
2023-10-05,173.79,175.45,172.68,174.91,48527918.0,0.14652177887472007,0.420736982976802
2023-10-06,173.8,177.99,173.18,177.49,57266675.0,0.08827368587953266,0.4501074880913591
2023-10-09,176.81,179.05,175.8,178.99,42344772.0,0.0888143338143338,0.3383032708032708
2023-10-10,178.1,179.72,177.95,178.39,43698019.0,0.11346016012595143,0.3272440577823981
2023-10-11,178.2,179.85,177.6,179.8,47544848.0,0.20914482914377874,0.44524328991503365
2023-10-12,180.07,182.34,179.04,180.71,56743119.0,0.08074700950390605,0.29706527674113886
2023-10-13,181.42,181.93,178.14,178.85,51412082.0,0.10502136752136752,0.3424145299145299
2023-10-16,176.75,179.075,176.51,178.72,52516984.0,0.10121919793169794,0.39019674723424724
2023-10-17,176.645,178.42,174.8,177.15,57549350.0,0.14606284211656115,0.3164373442214351
2023-10-18,175.58,177.575,175.11,175.84,54764375.0,0.22274356816023483,0.4240763557430224
2023-10-19,176.04,177.84,175.19,175.46,59192863.0,0.1451886625479699,0.3544965007735571
2023-10-20,175.31,175.42,172.64,172.88,64211828.0,0.13426459990076062,0.4071734102537674
2023-10-23,170.91,174.01,169.93,173.0,55980109.0,0.21393042163115947,0.45985336896578216
2023-10-24,173.05,173.67,171.45,173.44,43816644.0,0.17048319327731093,0.48020875016673337
2023-10-25,171.88,173.06,170.65,171.1,57156962.0,0.01031768183083972,0.3685879471405787
2023-10-26,170.37,171.3775,165.67,166.89,70625258.0,0.056816124908230174,0.281152375889218
2023-10-27,166.91,168.96,166.83,168.22,58257129.0,0.08532442069806201,0.38269918386766216
2023-10-30,169.02,171.17,168.87,170.29,51239218.0,0.1722048976690521,0.46601885757216643
2023-10-31,169.35,170.9,167.9,170.77,44846017.0,0.14987005198084744,0.4099232913551095
2023-11-01,171.0,174.23,170.12,173.97,56934906.0,0.26924253034547146,0.5774901823474489
2023-11-02,175.52,177.78,175.46,177.57,77292052.0,0.10919021778975482,0.48150106794782715
2023-11-03,174.24,176.82,173.35,176.65,79829246.0,0.15092953632016132,0.5182160576691827
2023-11-06,176.38,179.43,176.21,179.23,63841310.0,0.16215750733184944,0.336573645652593
2023-11-07,179.18,182.44,178.97,181.82,70529966.0,0.08114584714584713,0.3951044161044161
2023-11-08,182.35,183.45,181.59,182.89,49340282.0,0.19468557758031443,0.4547163362952837
2023-11-09,182.96,184.12,181.81,182.41,53631840.0,0.2144099476911977,0.4942083784271284
2023-11-10,183.97,186.565,183.53,186.4,66177922.0,0.16260974179677187,0.299142984382646
2023-11-13,185.82,186.03,184.21,184.8,43627519.0,0.15560407647907645,0.3614606782106782
2023-11-14,187.7,188.11,186.3,187.44,60108378.0,0.21583117639935823,0.5020955307318944
2023-11-15,187.845,189.5,187.78,188.01,53608999.0,0.20026876743626745,0.442041026936027
2023-11-16,189.57,190.96,188.65,189.71,54412915.0,0.08549388979076478,0.48121392496392495
2023-11-17,190.25,190.38,188.57,189.69,50737404.0,0.18353174603174605,0.4415079365079365
2023-11-20,189.89,191.905,189.88,191.45,46538614.0,0.0761154000320667,0.44577833894500557
2023-11-21,191.41,191.52,189.74,190.64,38134485.0,0.1996969696969697,0.3826936026936027
2023-11-22,191.49,192.93,190.825,191.31,39630011.0,0.14881245898709133,0.31282415807231984
2023-11-24,190.87,190.9,189.25,189.97,24018404.0,0.1974772688595788,0.4725123569304856
2023-11-27,189.92,190.67,188.9,189.79,40456609.0,0.0886732585596222,0.19879722550177095
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,0.15552574595543348,0.44890625
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,0.1349837662337662,0.46182259098925765
