Date,Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity
2023-03-21,397.24,399.41,395.58,398.91,91439734.0,0.14192531613123718,0.324268046062125
2023-03-22,398.73,402.49,392.07,392.11,111699083.0,0.07007195782274153,0.32960419239416106
2023-03-23,395.09,399.29,390.35,393.17,119243819.0,0.07142530212842713,0.3983099972943723
2023-03-24,391.841,395.84,389.4,395.75,107397124.0,0.13845221514165612,0.32793183946833016
2023-03-27,398.12,398.92,395.56,396.49,74010408.0,0.1378080503939422,0.4717032067050342
2023-03-28,395.77,396.49,393.69,395.6,62871680.0,0.08824473769076041,0.396265840903625
2023-03-29,399.925,401.6,398.68,401.35,77497876.0,0.07271825396825396,0.3921371452621452
2023-03-30,404.09,404.35,401.76,403.7,69726849.0,0.0665556955538559,0.3027726808319347
2023-03-31,404.66,409.7,404.55,409.39,112024624.0,0.13333541201596757,0.33381128388072834
2023-04-03,408.85,411.37,408.44,410.95,67331097.0,0.1496987433862434,0.411744708994709
2023-04-04,411.62,411.92,407.24,408.67,66526534.0,-0.06411623677248678,0.3352513227513228
2023-04-05,407.91,408.7,405.88,407.6,64855243.0,0.13476123479694907,0.474171768707483
2023-04-06,406.77,409.48,405.678,409.19,63743345.0,0.08646914567315148,0.36714974958942875
2023-04-10,406.61,409.69,405.97,409.61,63681042.0,0.11189986282578875,0.3225284146580442
2023-04-11,410.26,411.18,408.92,409.72,59297945.0,0.14291240325331234,0.48686806375442737
2023-04-12,411.87,412.17,407.44,408.05,86413179.0,0.11272038465007216,0.34432749368686866
2023-04-13,409.18,413.84,407.9922,413.47,85785954.0,0.09571837460194717,0.24604887064615932
2023-04-14,412.81,415.09,410.06,412.46,78155845.0,0.14372916613550366,0.4154710677653605
2023-04-17,412.37,413.96,411.085,413.94,66321399.0,0.040037277537277524,0.2977212602212602
2023-04-18,415.58,415.72,412.7802,414.21,63550097.0,0.013392967713401153,0.5452820286009141
2023-04-19,412.22,415.08,412.16,414.14,55227330.0,0.14310697032436165,0.45375534851621807
2023-04-20,411.21,413.7,410.27,411.88,75840359.0,0.09720626045030807,0.2758924992555945
2023-04-21,412.19,412.68,410.17,412.2,73107422.0,0.2133423440083104,0.38826851245548727
2023-04-24,411.99,413.07,410.6,412.63,64324595.0,0.08352872714681014,0.34621055942301004
2023-04-25,410.58,411.16,406.02,406.08,96743071.0,0.059304929354271466,0.3832201442563285
2023-04-26,406.72,407.84,403.78,404.36,80447049.0,0.1167312402960551,0.42942274717737683
2023-04-27,407.0,412.69,406.74,412.41,92943619.0,0.07180669923876444,0.26592349478219046
2023-04-28,411.49,415.94,411.43,415.93,89433137.0,0.11638625989116186,0.41462147148421663
2023-05-01,415.47,417.62,415.265,415.51,62012504.0,0.08771305514565318,0.4072378057672175
2023-05-02,414.77,414.82,407.82,410.84,103880184.0,0.10389720967438358,0.5238847637869377
2023-05-03,411.36,413.87,407.77,408.02,91531769.0,0.1358820892911802,0.3647070816388998
2023-05-04,406.93,407.27,403.74,405.13,94831863.0,0.16129982542259327,0.44300796871779013
2023-05-05,408.91,413.72,408.64,412.63,87627791.0,0.06666701962754594,0.2623197453131664
2023-05-08,412.97,413.24,411.28,412.74,50046768.0,0.021026229662593307,0.41965608886063427
2023-05-09,411.13,412.09,410.6894,410.93,49215359.0,0.08742466683643153,0.43693687576040513
2023-05-10,413.88,414.535,408.87,412.85,96142922.0,0.15038265306122447,0.43630527210884357
2023-05-11,411.95,412.43,409.97,412.13,70147264.0,0.07126546163388268,0.3722345605174553
2023-05-12,413.42,413.64,409.07,411.59,70481548.0,0.09183538635361552,0.44105379188712523
2023-05-15,412.22,413.43,410.23,413.01,54289383.0,0.10952756427246224,0.46274444659648745
2023-05-16,411.86,412.815,410.24,410.25,57705495.0,0.015672123015873014,0.3834176587301587
2023-05-17,412.35,415.855,410.635,415.23,86786957.0,-0.09438244047619049,0.5184275793650794
2023-05-18,414.9,419.67,414.67,419.23,97177195.0,0.09235539207265397,0.4385813921528207
2023-05-19,420.17,420.72,417.35,418.62,103793317.0,0.10876934138138908,0.396620086556353
2023-05-22,418.64,420.39,417.35,418.79,60717899.0,0.0662164167779141,0.3529145156685264
2023-05-23,417.08,418.722,413.68,414.09,86383493.0,0.13089138134592682,0.3811688311688312
2023-05-24,412.42,412.82,409.8795,411.09,89201678.0,0.08833569940861608,0.3955969362427696
2023-05-25,414.74,416.16,412.4101,414.65,90961606.0,0.11262335372960372,0.3702202297702298
2023-05-26,415.33,420.77,415.25,420.02,93829975.0,0.10891883116883115,0.4518667027417027
2023-05-30,422.03,422.58,418.735,420.18,72207960.0,0.03622685185185185,0.22199074074074074
2023-05-31,418.28,419.22,416.22,417.85,110782530.0,0.07199506222943722,0.28947510822510825
2023-06-01,418.09,422.92,416.79,421.82,88758018.0,0.12288026062535867,0.35154873222275185
2023-06-02,424.5,428.74,423.95,427.92,91426171.0,0.14462688353004197,0.44912382627523
2023-06-05,428.28,429.67,426.37,427.1,70168016.0,0.04351501228971585,0.32438278216440275
2023-06-06,426.67,428.5772,425.99,428.03,63706675.0,0.052729985628171126,0.44081689228110593
