Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity,SMA_10,SMA_20,EMA_10,EMA_20,RSI,MACD,MACD_Signal,CloseTomorrow
98.14,100.845,98.0,100.61,58237275.0,0.1793824907874494,0.3841824532217094,100.61,100.61,100.61,100.61,0.0,0.0,0.0,98.7
100.45,102.1,98.61,98.7,57367105.0,0.0857957050665383,0.3468215889049222,99.655,99.655,100.26272727272726,100.42809523809524,0.0,-0.15236467236468343,-0.030472934472936686,98.71
100.43,101.06,97.62,98.71,57472010.0,0.2458627344877345,0.5325988455988455,99.33999999999999,99.33999999999999,99.98041322314049,100.26446712018141,0.5208327907987069,-0.26920463307929765,-0.07821927419420888,98.13
98.065,98.3,96.4,98.13,56138401.0,0.1114208014208014,0.3185470547970548,99.0375,99.0375,99.64397445529676,100.06118453730699,0.39999952000022176,-0.40394586004283894,-0.1433645913639349,98.04
99.07,99.34,97.08,98.04,46704796.0,0.1457687913937914,0.4716394253894254,98.838,98.838,99.35234273615188,99.86869077184917,0.38609978980693427,-0.5120884639596426,-0.21710936588307644,97.24
98.11,98.44,96.29,97.24,38720050.0,0.1120134128988295,0.3296431828202661,98.57166666666666,98.57166666666666,98.9682804204879,99.6183392697683,0.29498481565634904,-0.65479747313708,-0.3046469873338772,100.25
98.69,100.4218,98.56,100.25,49783279.0,0.1191415271584444,0.4001260049474335,98.81142857142856,98.81142857142856,99.20132034403554,99.67849743455227,47.18745576176022,-0.5190304863315305,-0.34752368713340787,102.0
101.55,103.04,101.01,102.0,53633398.0,0.1128094293272864,0.3005763416477702,99.21,99.21,99.71017119057453,99.89959291697586,58.52755709289576,-0.2671443230356516,-0.3314478143138566,103.29
102.16,103.49,101.95,103.29,56700317.0,0.2273180615680615,0.5097183742183742,99.66333333333334,99.66333333333334,100.3610491559246,100.22248882964482,64.19486085181288,0.03615274875498642,-0.257927701700088,102.41
102.3,103.29,101.43,102.41,41135733.0,0.2269878615702479,0.3551160816771612,99.938,99.938,100.73358567302922,100.4308232268215,58.72087902248921,0.20316723236581424,-0.16570871488690755,103.95
102.75,104.2,102.11,103.95,48662496.0,0.0583049886621315,0.2363945578231292,100.272,100.30272727272727,101.318388277933,100.76598291950518,64.08089031965403,0.45455274251827404,-0.041656423405871223,101.1
103.91,103.91,100.7506,101.1,45175393.0,0.1539233394935149,0.387161696328363,100.51199999999999,100.36916666666667,101.2786813183088,100.7977940700285,51.66549501560534,0.41897668645516717,0.050470198566336465,102.06
100.75,102.3817,99.8008,102.06,43808020.0,0.1756338220918866,0.3802040613508355,100.84700000000001,100.49923076923076,101.42073926043447,100.91800415859721,54.62663334271856,0.4629102415458419,0.13295820716223755,102.17
100.96,102.2,99.57,102.17,37261185.0,0.1012715995682502,0.362517978831376,101.251,100.61857142857143,101.55696848581002,101.03724185777844,54.94292051597169,0.5008307164283394,0.20653270901545795,99.92
100.8,101.0,99.01,99.92,60028547.0,0.133551323115717,0.4132552254143163,101.43900000000001,100.57199999999999,101.25933785202638,100.93083787132335,48.08648512419347,0.34534583815761266,0.23429533484388892,97.83
100.4,100.51,97.705,97.83,56735007.0,0.1769549591722211,0.378778323197966,101.498,100.400625,100.63582187893067,100.63551997881636,47.61116603205246,0.05286798950496063,0.19800986577610327,102.4
98.95,102.57,98.71,102.4,67925138.0,0.1539075633777587,0.5263471647821727,101.71300000000001,100.51823529411764,100.95658153730692,100.80356569511957,58.10273107429798,0.18767459823003207,0.19594281226688903,102.51
102.07,103.2013,101.11,102.51,51175522.0,0.0685968724036905,0.2611639728117,101.76400000000001,100.62888888888888,101.23902125779657,100.96608324796533,59.82059024716307,0.2999284985333759,0.21673994952018644,102.74
103.16,103.73,101.59,102.74,39919457.0,0.124050271623801,0.4251940624734742,101.70899999999999,100.74,101.51192648365173,101.13502770054006,60.47233303865135,0.4028063007820606,0.2539532197725613,102.3
103.95,104.2,101.52,102.3,39790518.0,0.2437409812409812,0.4227212602212602,101.69800000000001,100.818,101.65521257753323,101.24597744334578,61.45829436521189,0.44371846720729025,0.29190626925950713,104.3
101.58,105.12,101.39,104.3,58398890.0,0.1296792328042328,0.4263227513227514,101.73299999999999,101.00250000000001,102.13608301798173,101.5368367344557,59.610781464122404,0.6302596976862418,0.3595769549448541,103.81
103.53,105.25,103.21,103.81,57696866.0,0.0235397913374103,0.4706686880139261,102.004,101.25800000000001,102.44043156016687,101.75332847403135,54.56836123386889,0.7301394686006688,0.4336894576760171,106.96
106.1,108.15,105.08,106.96,86734185.0,0.1341938178780284,0.3733013404723931,102.494,101.6705,103.26217127650017,102.24920195269503,58.46789023763432,1.0513542239484366,0.5572224109305011,106.21
107.655,109.23,105.07,106.21,69572310.0,0.1707983754596657,0.351377065586743,102.898,102.07449999999999,103.79814013531832,102.62642081434312,58.8207602836284,1.231207901512093,0.6920195090468195,102.57
104.91,105.45,102.45,102.57,65026818.0,0.0763731094008871,0.3546594583400139,103.16299999999998,102.301,103.5748419288968,102.6210474034533,47.08119039185,1.067717672805415,0.7671591417985386,104.98
105.04,106.62,104.1,104.98,73783977.0,0.1189480425676384,0.4597456856878849,103.878,102.68799999999999,103.83032521455193,102.84570955550537,58.36203374704863,1.1197100272625136,0.8376693188913337,109.82
108.16,110.86,106.8,109.82,149900667.0,0.1429159112492445,0.4164904578446245,104.61999999999998,103.1665,104.9193569937243,103.50992769307629,64.32788402546615,1.5337814157715002,0.976891738267367,105.45
