Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity,SMA_10,SMA_20,EMA_10,EMA_20,RSI,MACD,MACD_Signal,CloseTomorrow
274.88,275.0,269.5191,273.78,34545504.0,0.1033871138837468,0.3677557238247473,273.78,273.78,273.78,273.78,0.0,0.0,0.0,272.29
273.4,281.04,272.18,272.29,34871230.0,0.1112836512445887,0.4065611002134439,273.03499999999997,273.03499999999997,273.5090909090909,273.6380952380952,0.0,-0.11886039886036315,-0.02377207977207263,277.66
277.94,281.06,275.2,277.66,36610879.0,0.1507407407407407,0.54875,274.57666666666665,274.57666666666665,274.26380165289254,274.02113378684805,78.27986055980797,0.2177459598542555,0.024531528153192997,280.57
277.24,280.63,275.28,280.57,28199962.0,0.1508060871876661,0.38278546745652,276.075,276.075,275.4103831705484,274.64483533095773,84.74920632061256,0.7111242071679271,0.16185006395613982,276.38
280.5,281.4589,275.52,276.38,26840212.0,0.154792586619384,0.4500222871415682,276.136,276.136,275.5866771395396,274.81008910896173,59.31230392197609,0.7553251222180393,0.2805450756085197,275.23
275.79,276.14,272.0451,275.23,21878647.0,0.1103369706357644,0.2933024546319502,275.985,275.985,275.52182675053234,274.850080622394,54.79812878950092,0.6896098833288988,0.3623580371525955,280.51
278.96,281.1398,278.41,280.51,25087032.0,0.1081051587301587,0.3118734539270253,276.63142857142856,276.63142857142856,276.4287673413446,275.38912056311835,66.50316826782705,1.0514613641612982,0.500178702554336,284.05
284.23,284.46,281.48,284.05,25053410.0,0.0282738628366707,0.2720191979613162,277.55875000000003,277.55875000000003,277.81444600655465,276.21396622377375,71.45839948981228,1.6053739333130466,0.7212177487060782,288.3
283.73,289.27,283.0,288.3,32765976.0,0.2522727272727272,0.4737554112554112,278.7522222222222,278.7522222222222,279.7209103689992,277.36501705960484,75.76293094026107,2.3600874967987693,1.0489916983246164,287.23
286.52,288.27,283.95,287.23,24743342.0,0.1691562820720575,0.418758455448295,279.6,279.6,281.08619939281755,278.3045392444044,72.99143053255145,2.8391355878852664,1.4070204762367464,287.18
287.23,290.4499,285.67,287.18,25824299.0,0.1022376480579605,0.3540565438612313,280.94000000000005,280.28909090909093,282.194163139578,279.1498212211278,72.86686932871368,3.178114740868864,1.7612393291631698,284.34
285.85,287.15,282.92,284.34,22064770.0,0.1870105631059151,0.4645381524123834,282.145,280.62666666666667,282.58431529601836,279.64412396197275,66.428104209423,3.1809261599772185,2.0451766953259796,291.6
283.21,292.08,282.03,291.6,29770334.0,0.1386695498945498,0.4081136724386724,283.539,281.47076923076924,284.2235306967423,280.7827788227372,72.61419108197234,3.7260242671420656,2.381346209689197,289.39
289.208,289.6,284.71,289.39,23095494.0,0.0562282500509647,0.2796003665463499,284.421,282.0364285714286,285.16288875188,281.60251417295274,68.75748873233951,3.9343373224177753,2.6919444322349126,282.83
285.75,285.98,281.64,282.83,27011589.0,0.128793627108021,0.5204848630606206,285.06600000000003,282.08933333333334,284.7387271606291,281.7194175850525,59.39379631486095,3.52940496034131,2.859436537856192,283.49
284.79,287.01,281.96,283.49,27392932.0,0.0966951850758668,0.3686675330141238,285.892,282.176875,284.5116858586965,281.8880444817142,61.829301529146115,3.2245786942091286,2.9324649691267792,289.84
283.59,289.9,283.17,289.84,24212878.0,0.0987434463684463,0.4092616642616642,286.825,282.6276470588235,285.4804702480244,282.6453735786938,62.60345868277267,3.4555600675333267,3.037083988808089,286.14
287.0,288.48,283.69,286.14,20982817.0,0.1391233766233766,0.3012806637806638,287.034,282.8227777777778,285.6003847483836,282.9781951426277,55.67092691115908,3.3019920829009948,3.0900656076266704,288.8
289.93,291.6,286.16,288.8,23836223.0,0.1170442321499306,0.4063008034653255,287.084,283.1373684210526,286.1821329759502,283.5326527480917,63.05168384355665,3.356239478611826,3.143300381823702,288.37
291.57,291.755,287.01,288.37,20129345.0,0.0812222846597846,0.4447557997557997,287.198,283.399,286.57992698032285,283.9933524863687,64.02046742879756,3.3261912618198153,3.1798785578229247,288.45
285.99,289.05,284.54,288.45,17150271.0,0.1349346057982421,0.3903832699287245,287.325,284.13250000000005,286.9199402566278,284.41779510671455,59.529504718841395,3.2711256644834066,3.1981279791550214,286.11
285.25,289.03,285.08,286.11,23244363.0,0.1120451675849403,0.3610522842056933,287.502,284.8235,286.77267839178637,284.57895747750365,52.54570599011655,3.004038650450809,3.159310113414179,285.76
285.01,286.27,283.0608,285.76,21676387.0,0.1164520202020202,0.4729419191919192,286.918,285.2285,286.5885550478252,284.6914377177414,46.526240389295246,2.7326281562606027,3.073973721983464,281.77
