Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity,SMA_10,SMA_20,EMA_10,EMA_20,RSI,MACD,MACD_Signal
157.32,159.4,156.54,159.28,73938285.0,0.1142045454545454,0.2694573283858998,159.28,159.28,159.28,159.28,0.0,0.0,0.0
159.3,162.14,157.81,157.83,75349311.0,0.0638783998447864,0.2754247203932077,158.555,158.555,159.01636363636362,159.14190476190475,0.0,-0.11566951566950934,-0.02313390313390187
158.83,161.5501,157.68,158.93,67482060.0,0.2494524611191278,0.5259300144300144,158.68,158.68,159.00066115702478,159.12172335600906,43.13722106884629,-0.11722632121492893,-0.04195238675010728
158.86,160.34,157.85,160.25,59006343.0,0.1451511143177809,0.3342897226230559,159.0725,159.0725,159.22781367392935,159.22917827448438,62.532251266988744,-0.01181098286772908,-0.035924105973631645
159.94,160.77,157.87,158.28,52390266.0,0.1332241639533306,0.3817082994166327,158.91400000000002,158.91400000000002,159.0554839150331,159.1387803435811,41.43832778196723,-0.08623701712144793,-0.0459866882031949
157.97,158.49,155.98,157.65,45992152.0,0.0964358022581706,0.382578969519759,158.70333333333335,158.70333333333335,158.79994138502707,158.9969917394305,37.40337140388606,-0.19382166484589902,-0.07555368353173572
159.37,161.05,159.35,160.77,51305691.0,0.0696602132435465,0.3594166666666666,158.99857142857144,158.99857142857144,159.1581338604767,159.16584966900857,57.76847272045509,-0.0270139482215086,-0.0658457364696903
161.53,162.47,161.271,162.36,49210289.0,0.0759126082251082,0.3343164682539682,159.41875000000002,159.41875000000002,159.74029134039003,159.4700544624363,63.77455756512504,0.2308213163499886,-0.006512325905754519
162.44,165.0,161.91,164.9,68749792.0,0.2030718561274117,0.4569449788894233,160.02777777777777,160.02777777777777,160.67842018759183,159.98719213268046,70.48100846588434,0.6328196425373278,0.12135406778286195
164.27,166.29,164.22,166.17,56976187.0,0.2048794801487489,0.3886642897067798,160.642,160.642,161.6768892443933,160.5760309771871,72.98194417361593,1.0418745175555273,0.30545815773739504
166.595,166.84,165.11,165.63,46278295.0,0.1226010501843835,0.2797022206188873,161.277,161.09545454545454,162.3956366545036,161.05736136031214,70.44425599210824,1.3074089692927942,0.5058483200484749
164.74,165.05,161.8,163.76,51511744.0,0.1755845734126984,0.4464156746031745,161.87,161.3175,162.6437027173211,161.3147555164729,62.87352347076103,1.3513757452203379,0.6749538050828475
162.43,164.9584,162.0,164.66,45390123.0,0.0632478771228771,0.3777228535353535,162.443,161.5746153846154,163.0103022232627,161.63335022918977,64.69941112606924,1.4422172278391372,0.8284064896341055
161.42,162.03,160.08,162.03,47670382.0,0.1113547749524802,0.3548980858878873,162.621,161.60714285714286,162.83206545539676,161.67112639783838,56.56948230275825,1.28715323584143,0.9201558388755704
162.35,162.36,160.51,160.8,47494217.0,0.047438280318715,0.4459512568751699,162.873,161.55333333333334,162.46259900896098,161.58816197899662,53.429569132943726,1.0528762821584223,0.9466999275321408
161.22,162.06,159.78,160.1,50133062.0,0.0409632034632034,0.3086796536796536,163.118,161.4625,162.03303555278626,161.44643226671124,55.30122493147362,0.8014869163707772,0.9176573252998681
161.63,165.8,161.42,165.56,68418649.0,0.1207218567251462,0.2874038612155388,163.597,161.70352941176472,162.674301815916,161.83820062226255,62.86376095876393,1.0309512375756924,0.940316107755033
164.59,166.32,163.82,165.21,49314480.0,0.1374595444238301,0.3966224598813884,163.882,161.89833333333334,163.13533784938582,162.15932437252326,59.9999661290514,1.1710620164390377,0.9864652894918341
165.09,165.39,164.03,165.23,41516217.0,0.1132904146507087,0.4009410632940045,163.91500000000002,162.07368421052632,163.51618551313382,162.45176967037818,65.20783750942121,1.2690854241930651,1.0429893164320803
166.1,167.41,165.65,166.47,49915508.0,0.1725906236620522,0.3227577184720042,163.945,162.2935,164.05324269256403,162.83445827319932,68.79791290832136,1.4303392573428653,1.1204593046142373
165.8,168.16,165.54,167.63,47621166.0,0.1411192606708911,0.4416898540268105,164.145,162.71099999999998,164.70356220300692,163.2911765328946,65.95344542566343,1.6329131806672024,1.2229500798248303
166.09,167.87,165.56,166.65,52456377.0,0.1281989007724301,0.3562566844919786,164.43400000000003,163.152,165.05745998427838,163.61106448214275,60.26803045704038,1.6948396085632567,1.3173279855725157
165.05,166.4521,164.49,165.02,57736141.0,-0.0508901515151514,0.3323106060606061,164.47,163.4565,165.05064907804592,163.7452488171768,50.30026505486934,1.5940145636548948,1.3726653011889918
165.0,165.6,163.89,165.33,41449581.0,0.105546062476618,0.2642930444041555,164.8,163.7105,165.10144015476484,163.89617750125518,47.7917629293018,1.5215845191978588,1.4024491447907654
165.19,166.305,163.73,163.77,48652863.0,0.1444837512025012,0.4174353655603655,165.097,163.98499999999999,164.85936012662577,163.88416059637376,45.359249749027164,1.3230528944044693,1.3865698947135063
163.055,165.28,162.8,163.76,45487296.0,0.1310330578512396,0.4113980716253443,165.463,164.2905,164.65947646723927,163.8723357776715,49.99996149617927,1.1516329274648456,1.339582501263774
165.19,168.56,165.19,168.41,64898729.0,0.1018460540781969,0.3838218494468494,165.748,164.67249999999999,165.34138983683212,164.30449427503612,58.54989422259374,1.3751456835382214,1.3466951377186636
168.49,169.85,167.8801,169.68,55275851.0,0.1422902494331065,0.5533219954648526,166.195,165.0385,166.13022804831718,164.81644720122316,68.59499463636729,1.6359018806494134,1.4045364863048135
169.28,170.45,168.64,169.59,52424936.0,0.1341947705072705,0.4490743215118215,166.631,165.273,166.75927749407768,165.27107127729712,72.61960799410637,1.8143758028231218,1.486504349608475
