Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity,SMA_10,SMA_20,EMA_10,EMA_20,RSI,MACD,MACD_Signal,CloseTomorrow
397.24,399.41,395.58,398.91,91439734.0,0.1419253161312371,0.324268046062125,398.91,398.91,398.91,398.91,0.0,0.0,0.0,392.11
398.73,402.49,392.07,392.11,111699083.0,0.0700719578227415,0.329604192394161,395.51,395.51,397.6736363636364,398.26238095238097,0.0,-0.5424501424500932,-0.10849002849001864,393.17
395.09,399.29,390.35,393.17,119243819.0,0.0714253021284271,0.3983099972943723,394.73,394.73,396.85479338842975,397.77739229024945,13.486001657505952,-0.8767065202392246,-0.26213332683985985,395.75
391.841,395.84,389.4,395.75,107397124.0,0.1384522151416561,0.3279318394683301,394.985,394.985,396.6539218632607,397.5843073102257,34.865890364207615,-0.9227853744017693,-0.39426373635224177,396.49
398.12,398.92,395.56,396.49,74010408.0,0.1378080503939422,0.4717032067050342,395.286,395.286,396.6241178881223,397.48008756639473,39.17708795095236,-0.8893396290943656,-0.49327891490066655,395.6
395.77,396.49,393.69,395.6,62871680.0,0.0882447376907604,0.396265840903625,395.33833333333337,395.33833333333337,396.43791463573643,397.30103160769045,36.28830311172197,-0.9239979240347793,-0.5794227167274891,401.35
399.925,401.6,398.68,401.35,77497876.0,0.0727182539682539,0.3921371452621452,396.19714285714286,396.19714285714286,397.33102106560256,397.68664764505326,56.84622103943174,-0.48193250925550046,-0.5599246752330914,403.7
404.09,404.35,401.76,403.7,69726849.0,0.0665556955538559,0.3027726808319347,397.135,397.135,398.48901723549295,398.25934786933385,61.87404892819317,0.057371533768218796,-0.4364654334328294,409.39
404.66,409.7,404.55,409.39,112024624.0,0.1333354120159675,0.3338112838807283,398.49666666666667,398.49666666666667,400.4710141017669,399.31940997701633,70.26293263327679,0.9331525186583463,-0.16254184301459426,410.95
408.85,411.37,408.44,410.95,67331097.0,0.1496987433862434,0.411744708994709,399.742,399.742,402.37628426508195,400.4270852173005,71.9547539171121,1.7331159396559315,0.21658971351951087,408.67
411.62,411.92,407.24,408.67,66526534.0,-0.0641162367724867,0.3352513227513228,400.718,400.5536363636364,403.5205962168852,401.2121247204147,66.43095406365185,2.158236956794667,0.6049191621745421,407.6
407.91,408.7,405.88,407.6,64855243.0,0.134761234796949,0.474171768707483,402.267,401.1408333333334,404.26230599563337,401.82049379466093,64.1208740549362,2.3813575604585253,0.9602068418313388,409.19
406.77,409.48,405.678,409.19,63743345.0,0.0864691456731514,0.3671497495894287,403.869,401.76,405.1582503600637,402.5223515285027,65.88378273778144,2.6558667791642847,1.299338829297928,409.61
406.61,409.69,405.97,409.61,63681042.0,0.1118998628257887,0.3225284146580442,405.255,402.32071428571425,405.96765938550664,403.1973656686453,66.32090109299227,2.8741760897837025,1.6143062813950828,409.72
410.26,411.18,408.92,409.72,59297945.0,0.1429124032533123,0.4868680637544273,406.57800000000003,402.814,406.6499031335963,403.81856893829814,66.43353815538057,3.021236933262969,1.8956924117686602,408.05
411.87,412.17,407.44,408.05,86413179.0,0.1127203846500721,0.3443274936868686,407.823,403.14125,406.9044662002151,404.22156237274595,78.71033494435564,2.9688061190855706,2.110315153232042,413.47
409.18,413.84,407.9922,413.47,85785954.0,0.0957183746019471,0.2460488706461593,409.03499999999997,403.74882352941177,408.0981996183578,405.10236595629397,81.60021349928435,3.3262599698686586,2.3535041165593658,412.46
412.81,415.09,410.06,412.46,78155845.0,0.1437291661355036,0.4154710677653605,409.91100000000006,404.2327777777778,408.89125423320183,405.80309300807545,77.34857339181575,3.487840508574891,2.580371394962471,413.94
412.37,413.96,411.085,413.94,66321399.0,0.0400372775372775,0.2977212602212602,410.366,404.74368421052634,409.80920800898326,406.57803653111586,77.88427323810077,3.692750155611634,2.802847147092304,414.21
415.58,415.72,412.7802,414.21,63550097.0,0.0133929677134011,0.5452820286009141,410.692,405.217,410.6093520073499,407.3048901948191,80.33905690424521,3.8327477405480295,3.008827265783449,414.14
412.22,415.08,412.16,414.14,55227330.0,0.1431069703243616,0.453755348516218,411.23900000000003,405.97850000000005,411.25128800601357,407.9558530334078,75.59019374699022,3.8931703755773697,3.1856958877422334,411.88
411.21,413.7,410.27,411.88,75840359.0,0.097206260450308,0.2758924992555945,411.66700000000003,406.967,411.36559927764745,408.3295813159404,66.42566546348127,3.715858532645086,3.2917284167228043,412.2
412.19,412.68,410.17,412.2,73107422.0,0.2133423440083104,0.3882685124554872,411.968,407.9185,411.5173084998933,408.69819261918417,57.194019420569795,3.5601200969272213,3.345406752763688,412.63
411.99,413.07,410.6,412.63,64324595.0,0.0835287271468101,0.34621055942301,412.27,408.76250000000005,411.7196160453673,409.07265046497616,54.56517587432271,3.431833629092125,3.3626921280293756,406.08
410.58,411.16,406.02,406.08,96743071.0,0.0593049293542714,0.3832201442563285,411.90600000000006,409.242,410.6942313098459,408.7876361349784,44.287577413935374,2.7697079505422266,3.244095292531946,404.36
406.72,407.84,403.78,404.36,80447049.0,0.1167312402960551,0.4294227471773768,411.537,409.68,409.54255288987395,408.3659565030757,43.05314739519453,2.0821769152049683,3.0117116170665508,412.41
407.0,412.69,406.74,412.41,92943619.0,0.0718066992387644,0.2659234947821904,411.43100000000004,410.233,410.06390690989684,408.75110350278277,55.40628691443868,2.161949728941238,2.8417592394414886,415.93
411.49,415.94,411.43,415.93,89433137.0,0.1163862598911618,0.4146214714842166,411.77799999999996,410.8445,411.1304692899156,409.43480793108915,59.61068021443054,2.480609913732451,2.7695293742996814,415.51
