Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity,SMA_10,SMA_20,EMA_10,EMA_20,RSI,MACD,MACD_Signal
202.98,203.13,199.45,202.88,31506183.0,0.14887944857491456,0.516479280544225,202.88,202.88,202.88,202.88,0.0,0.0,0.0
203.49,203.49,195.75,198.38,57339046.0,0.14887944857491456,0.516479280544225,200.63,200.63,202.06181818181815,202.45142857142855,0.0,-0.3589743589743364,-0.07179487179486728
198.25,199.2599,196.75,197.12,30269347.0,0.14887944857491456,0.516479280544225,199.46,199.46,201.16330578512392,201.94367346938773,0.0,-0.7366440207465246,-0.20476470158519874
199.28,201.9499,199.0,201.45,38474372.0,0.14887944857491456,0.516479280544225,199.95749999999998,199.95749999999998,201.21543200601047,201.89665694849367,42.91376325656192,-0.678731145830227,-0.2995579904342044
201.9,208.0,201.79,207.86,41213929.0,0.14887944857491456,0.516479280544225,201.538,201.538,202.42353527764493,202.46459438197047,65.09089331129866,-0.11428395157008708,-0.26250318266138095
206.98,207.64,205.05,205.74,26842190.0,0.14887944857491456,0.516479280544225,202.23833333333334,202.23833333333334,203.02652886352766,202.77653777416376,57.679898582196984,0.1601323282812075,-0.17797608047286326
205.83,208.2,204.59,207.89,23383406.0,0.14887944857491456,0.516479280544225,203.04571428571427,203.04571428571427,203.91079634288627,203.26353417662435,62.060646491869086,0.5448159398082453,-0.03341767641664156
209.96,212.99,209.5101,210.71,38327547.0,0.14887944857491456,0.516479280544225,204.00375,204.00375,205.1470151896342,203.97272139789823,66.59599549928072,1.0649547700381277,0.18625681287431228
210.31,214.02,209.65,213.44,31257737.0,0.14887944857491456,0.516479280544225,205.0522222222222,205.0522222222222,206.6548306097007,204.87436697905076,70.06076897848968,1.6781124886508678,0.48462794802962345
215.96,220.0,215.75,218.16,47021301.0,0.14887944857491456,0.516479280544225,206.363,206.363,208.7466795897551,206.1396653619983,74.6133804278214,2.51590714011499,0.8908837864466967
218.03,222.15,217.3,220.55,37055553.0,0.14887944857491456,0.516479280544225,208.12999999999997,207.65272727272725,210.89273784616324,207.5120781846651,76.42833490028872,3.334282925277904,1.3795636142129384
220.75,227.15,220.6,227.03,42907683.0,0.14887944857491456,0.516479280544225,210.99499999999998,209.2675,213.8267855104972,209.37092788136368,80.2555529238015,4.454386085445094,1.9945281084593696
227.21,230.08,225.67,226.09,43601314.0,0.14887944857491456,0.516479280544225,213.892,210.56153846153848,216.056460872225,210.96322046409094,78.40878969631638,5.20621179685304,2.6368648461381037
226.09,229.06,224.2002,225.04,30117754.0,0.14887944857491456,0.516479280544225,216.25100000000003,211.5957142857143,217.6898316227295,212.30386613417753,76.44389036347076,5.652158302407969,3.2399235373920767
226.41,231.2,226.26,230.26,30854625.0,0.14887944857491456,0.516479280544225,218.49099999999999,212.84,219.97531678223322,214.01397412139872,79.05345698751277,6.353544786219857,3.8626477871576332
229.83,231.09,227.63,228.97,27425344.0,0.14887944857491456,0.516479280544225,220.814,213.848125,221.61071373091806,215.43835753840838,84.83258511372827,6.727753059448872,4.435668841615882
228.4,230.2,225.8608,227.46,27993136.0,0.14887944857491456,0.516479280544225,222.77100000000002,214.64882352941177,222.67422032529657,216.58327586808377,84.35232833033069,6.823810788509235,4.913297230994552
230.23,233.0,228.01,232.93,34480030.0,0.14887944857491456,0.516479280544225,224.993,215.66444444444446,224.538907538879,218.14010673779006,84.74611067449119,7.2576587438868785,5.382169533573018
232.39,232.73,227.85,231.15,33215182.0,0.14887944857491456,0.516479280544225,226.76399999999998,216.47947368421052,225.7409243499919,219.37914419133386,78.63287187459537,7.372865446887772,5.780308716235969
230.77,231.3999,220.11,220.52,41822398.0,0.14887944857491456,0.516479280544225,227.0,216.6815,224.7916653772661,219.48779712549256,65.02641499858052,6.531128642151856,5.930472701419147
224.91,226.09,222.92,223.29,34023750.0,0.14887944857491456,0.516479280544225,227.27399999999997,217.702,224.51863530867226,219.84991168496947,65.46182898663443,6.0181880841148825,5.948015777958294
219.84,226.21,218.73,224.92,76517960.0,0.14887944857491456,0.516479280544225,227.06300000000002,219.029,224.59161070709547,220.3327772387819,64.61631547771205,5.677756728568937,5.893963968080423
225.01,226.88,223.9,225.06,25352845.0,0.14887944857491456,0.516479280544225,226.95999999999998,220.426,224.67677239671445,220.78298893032647,62.624926624316124,5.35750131634839,5.786671437734017
226.94,229.14,226.13,229.05,14710826.0,0.14887944857491456,0.516479280544225,227.36100000000002,221.80599999999998,225.47190468822092,221.57032331791441,62.02250235559655,5.363825408581874,5.70210223190359
228.5,228.5,226.6706,227.05,15729583.0,0.14887944857491456,0.516479280544225,227.04000000000002,222.76550000000003,225.75883110854437,222.09219728763685,57.2382895025378,5.148109806672693,5.5913037468574105
225.6,226.03,220.9,223.75,26959407.0,0.14887944857491456,0.516479280544225,226.51800000000003,223.666,225.39358908880902,222.25008326024286,46.06901618010003,4.657186075186331,5.404480212523195
220.06,222.9972,218.43,221.3,26845668.0,0.14887944857491456,0.516479280544225,225.902,224.33650000000003,224.649300163571,222.15959914021974,44.45985143562526,4.024044279005437,5.128393025819643
222.965,223.2299,218.94,219.39,23418665.0,0.14887944857491456,0.516479280544225,224.548,224.7705,223.69306377019444,221.89582779353213,43.59263755280278,3.329770287365079,4.76866847812873
222.03,225.15,218.19,220.22,33106954.0,0.14887944857491456,0.516479280544225,223.45499999999998,225.10949999999997,223.06159763015907,221.73622514652908,37.35515055485877,2.8140881538876954,4.377752413280524
